,Province_State,Confirmed-03-10-2020,Confirmed-03-11-2020,Confirmed-03-12-2020,Confirmed-03-13-2020,Confirmed-03-14-2020,Confirmed-03-15-2020,Confirmed-03-16-2020,Confirmed-03-17-2020,Confirmed-03-18-2020,Confirmed-03-19-2020,Confirmed-03-20-2020,Confirmed-03-21-2020,Confirmed-03-22-2020,Confirmed-03-23-2020,Confirmed-03-24-2020,Confirmed-03-25-2020,Confirmed-03-26-2020,Confirmed-03-27-2020,Confirmed-03-28-2020
0,Arizona,6,9,9,9,12,13,18,20,27,45,78,118,152,235,326,401,508,665,773
1,Arkansas,0,1,6,6,12,16,22,22,33,62,96,122,165,192,219,280,335,381,409
2,California,144,177,221,282,340,426,557,698,751,952,1177,1364,1646,2108,2538,2998,3899,4657,5095
3,Colorado,15,34,45,49,101,131,160,160,184,277,363,390,591,704,723,1021,1430,1433,1740
4,Connecticut,2,3,5,11,22,24,30,68,68,159,194,194,327,415,618,875,1012,1291,1524
5,Delaware,0,1,1,4,6,7,8,16,19,30,38,45,56,68,104,119,130,163,214
6,District of Columbia,5,10,10,10,10,16,22,22,31,40,71,77,102,120,141,187,231,271,304
7,Florida,15,28,35,50,76,115,155,216,314,417,563,659,1004,1227,1412,1682,2357,2900,3763
8,Georgia,17,23,31,42,66,99,121,146,199,287,420,507,621,772,1026,1247,1525,2000,2366
9,Hawaii,2,2,2,2,4,6,7,10,14,16,26,37,53,56,90,91,95,106,149
10,Idaho,0,0,0,1,2,5,5,8,9,11,23,36,42,68,81,91,146,205,234
11,Illinois,12,25,32,46,64,93,105,161,162,422,585,753,1049,1285,1537,1865,2538,3024,3491
12,Indiana,6,11,13,13,16,20,25,30,39,60,86,128,204,270,368,477,645,979,1233
13,Iowa,8,13,16,17,17,18,23,23,29,44,45,68,90,105,124,146,179,235,298
14,Kansas,1,1,1,5,8,8,11,18,18,34,44,57,65,84,100,134,172,206,266
15,Kentucky,6,8,10,14,14,20,21,26,27,37,47,87,103,123,162,197,247,301,393
16,Louisiana,1,6,19,36,77,91,136,196,257,392,538,585,837,1172,1388,1795,2304,2744,3315
17,Maine,0,0,0,1,3,12,17,32,42,52,56,70,89,107,118,142,155,168,211
18,Maryland,8,9,12,18,26,32,41,60,85,107,149,193,244,290,349,425,583,775,995
19,Massachusetts,92,95,108,123,138,164,197,218,218,328,413,525,646,777,1159,1838,2417,3240,4257
20,Michigan,0,2,2,16,25,33,53,65,83,334,552,788,1035,1329,1793,2296,2845,3634,4650
21,Minnesota,3,5,9,14,21,35,54,60,77,89,115,138,167,234,261,286,344,396,441
22,Mississippi,0,0,1,1,6,10,13,21,34,50,80,140,207,249,320,377,485,579,663
23,Missouri,1,1,1,2,4,5,6,11,18,31,53,74,87,187,257,354,520,666,836
24,Montana,0,1,1,1,5,7,7,9,11,11,15,21,34,34,51,65,90,109,129
25,Nebraska,3,5,10,13,14,17,18,21,24,29,37,38,51,51,66,71,74,82,96
26,Nevada,4,7,14,17,21,24,45,56,55,95,114,161,190,245,278,323,420,536,626
27,New Hampshire,4,5,6,6,7,13,17,26,26,44,44,55,74,101,101,108,137,158,187
28,New Jersey,15,23,29,29,69,98,178,267,267,742,890,1327,1914,2844,3675,4402,6876,8825,11124
29,New Mexico,0,3,5,10,10,13,17,23,23,35,43,43,57,83,100,113,113,136,208
30,New York,173,220,328,421,525,732,967,1706,2495,5365,8310,11710,15800,20884,25681,30841,37877,44876,52410
31,North Carolina,7,7,15,17,24,33,38,64,70,123,172,253,305,353,495,590,738,887,1020
32,North Dakota,0,0,1,1,1,1,1,3,6,18,19,28,28,30,36,45,51,68,94
33,Ohio,3,4,5,13,26,37,50,67,86,119,173,248,356,443,567,704,868,1137,1406
34,Oklahoma,2,2,2,2,4,7,10,19,19,44,49,53,67,81,106,164,248,322,377
35,Oregon,15,19,24,30,32,36,39,66,68,88,114,114,161,191,210,266,316,416,479
36,Pennsylvania,12,16,22,41,47,66,77,112,152,206,303,396,509,698,946,1260,1795,2345,2845
37,Rhode Island,3,5,5,14,20,20,21,23,33,44,54,66,83,106,124,132,165,203,239
38,South Carolina,7,10,12,13,19,28,33,47,47,81,126,171,196,298,342,424,424,542,660
39,South Dakota,0,8,8,8,9,9,10,11,11,11,14,14,21,28,30,41,46,58,68
40,Tennessee,7,9,18,26,32,39,52,74,79,154,233,371,505,614,772,916,1097,1318,1511
41,Texas,13,21,27,43,57,72,85,110,173,260,394,581,643,758,955,1229,1563,1937,2455
42,Utah,2,3,5,9,10,28,39,51,51,80,78,136,162,257,298,340,396,472,602
43,Vermont,1,1,2,2,5,8,12,12,18,22,29,29,52,75,95,125,158,184,211
44,Virginia,7,9,17,30,41,45,49,67,77,99,122,156,220,254,293,396,466,607,740
45,Washington,267,366,442,568,572,643,904,1076,1014,1376,1524,1793,1997,2221,2328,2591,3207,3477,4030
46,West Virginia,0,0,0,0,0,0,0,1,1,2,7,8,16,16,22,39,52,76,96
47,Wisconsin,3,6,8,19,27,32,47,72,92,159,207,282,381,425,481,621,728,926,1055
48,Wyoming,0,0,1,1,2,3,3,11,15,18,19,23,26,26,29,44,53,70,82
